1,00E+13;3,81E+10;-6,32E+10
7,41E+12;4,69E+10;-7,85E+10
5,48E+12;5,87E+10;-9,68E+10
4,06E+12;7,50E+10;-1,18E+11
3,01E+12;9,62E+10;-1,42E+11
2,23E+12;1,24E+11;-1,69E+11
1,65E+12;1,59E+11;-1,96E+11
1,22E+12;2,01E+11;-2,23E+11
9,04E+11;2,51E+11;-2,48E+11
6,70E+11;3,07E+11;-2,70E+11
4,96E+11;3,70E+11;-2,87E+11
3,67E+11;4,37E+11;-2,97E+11
2,72E+11;5,06E+11;-2,99E+11
2,01E+11;5,75E+11;-2,93E+11
1,49E+11;6,40E+11;-2,80E+11
1,10E+11;7,00E+11;-2,61E+11
8,18E+10;7,54E+11;-2,37E+11
6,06E+10;8,00E+11;-2,10E+11
4,49E+10;8,37E+11;-1,83E+11
3,32E+10;8,67E+11;-1,58E+11
2,46E+10;8,91E+11;-1,35E+11
1,82E+10;9,09E+11;-1,15E+11
1,35E+10;9,24E+11;-9,90E+10
9,99E+09;9,37E+11;-8,69E+10
7,40E+09;9,47E+11;-7,76E+10
5,48E+09;9,57E+11;-7,14E+10
4,06E+09;9,66E+11;-6,77E+10
3,00E+09;9,75E+11;-6,62E+10
2,22E+09;9,84E+11;-6,65E+10
1,65E+09;9,93E+11;-6,87E+10
1,22E+09;1,00E+12;-7,27E+10
9,03E+08;1,01E+12;-7,84E+10
6,69E+08;1,03E+12;-8,58E+10
4,95E+08;1,04E+12;-9,56E+10
3,67E+08;1,05E+12;-1,08E+11
2,72E+08;1,07E+12;-1,23E+11
2,01E+08;1,09E+12;-1,42E+11
1,49E+08;1,11E+12;-1,65E+11
1,10E+08;1,13E+12;-1,93E+11
8,17E+07;1,16E+12;-2,27E+11
6,05E+07;1,19E+12;-2,69E+11
4,48E+07;1,23E+12;-3,19E+11
3,32E+07;1,28E+12;-3,78E+11
2,46E+07;1,34E+12;-4,50E+11
1,82E+07;1,40E+12;-5,35E+11
1,35E+07;1,48E+12;-6,37E+11
9,98E+06;1,58E+12;-7,59E+11
7,39E+06;1,69E+12;-8,99E+11
5,47E+06;1,83E+12;-1,07E+12
4,05E+06;1,99E+12;-1,27E+12
3,00E+06;2,18E+12;-1,51E+12
